,186
Unnamed: 0,186
number,186
value,0.7628865979381444
datetime_start,2022-09-14 22:32:10.537213
datetime_complete,2022-09-14 22:32:13.909176
duration,0 days 00:00:03.371963
params_10_dias_atras,
params_11_dias_atras,
params_12_dias_atras,
params_13_dias_atras,
params_1_dias_adelante,
params_1_dias_atras,
params_1_semanas_adelante,False
params_1_semanas_atras,True
params_2_dias_adelante,
params_2_dias_atras,
params_2_semanas_atras,True
params_3_dias_adelante,
params_3_dias_atras,
params_4_dias_adelante,
params_4_dias_atras,
params_5_dias_adelante,
params_5_dias_atras,
params_6_dias_adelante,
params_6_dias_atras,
params_7_dias_atras,
params_8_dias_atras,
params_9_dias_atras,
params_Activacion capa 0,tanh
params_Activacion capa 1,softmax
params_Activacion capa 2,tanh
params_Activacion capa 3,linear
params_Activacion capa 4,selu
params_Activacion capa 5,
params_Activacion capa 6,
params_Activacion capa 7,
params_Acumuladas,True
params_Acumulativo,True
params_Altitud,False
params_Batch power,8
params_Chilling,True
params_Inicio mediciones,1
params_Latitud,True
params_Learning rate,0.001
params_Longitud,False
params_Neuronas capa 0,208.0
params_Neuronas capa 1,336.0
params_Neuronas capa 2,336.0
params_Neuronas capa 3,208.0
params_Neuronas capa 4,256.0
params_Neuronas capa 5,
params_Neuronas capa 6,
params_Neuronas capa 7,
params_Numero de capas,5
params_Optimizador,rmsprop
params_Precipitaciones,True
params_Radiacion,True
params_Radiacion_max,
params_Radiacion_media,
params_Radiacion_min,
params_Tbase,TbaseMax
params_Tbase_chilling,Tbase
params_Temperatura,
params_Temperatura inicio,10.0
params_Temperatura_max,
params_Temperatura_media,
params_Temperatura_min,
params_Viento,
params_Viento_este,
params_Viento_noreste,
params_Viento_noroeste,
params_Viento_norte,
params_Viento_oeste,
params_Viento_sur,
params_Viento_sureste,
params_Viento_suroeste,
params_Winkler,True
params_gdd,True
system_attrs_Umbral,0.1850910186767578
state,COMPLETE
