,440
Unnamed: 0,440
number,440
value,0.5997171145685997
datetime_start,2022-09-15 10:48:05.747376
datetime_complete,2022-09-15 10:49:22.623817
duration,0 days 00:01:16.876441
params_10_dias_atras,
params_11_dias_atras,
params_12_dias_atras,
params_13_dias_atras,
params_1_dias_adelante,
params_1_dias_atras,
params_1_semanas_adelante,False
params_1_semanas_atras,False
params_2_dias_adelante,
params_2_dias_atras,
params_2_semanas_atras,False
params_3_dias_adelante,
params_3_dias_atras,
params_4_dias_adelante,
params_4_dias_atras,
params_5_dias_adelante,
params_5_dias_atras,
params_6_dias_adelante,
params_6_dias_atras,
params_7_dias_atras,
params_8_dias_atras,
params_9_dias_atras,
params_Activacion capa 0,tanh
params_Activacion capa 1,linear
params_Activacion capa 2,tanh
params_Activacion capa 3,selu
params_Activacion capa 4,tanh
params_Activacion capa 5,softmax
params_Activacion capa 6,tanh
params_Activacion capa 7,softmax
params_Acumuladas,True
params_Acumulativo,True
params_Altitud,False
params_Batch power,2
params_Chilling,True
params_Inicio mediciones,2
params_Latitud,False
params_Learning rate,0.1
params_Longitud,True
params_Neuronas capa 0,464.0
params_Neuronas capa 1,272.0
params_Neuronas capa 2,400.0
params_Neuronas capa 3,144.0
params_Neuronas capa 4,144.0
params_Neuronas capa 5,336.0
params_Neuronas capa 6,48.0
params_Neuronas capa 7,80.0
params_Numero de capas,8
params_Optimizador,sgd
params_Precipitaciones,False
params_Radiacion,True
params_Radiacion_max,
params_Radiacion_media,
params_Radiacion_min,
params_Tbase,TbaseMax
params_Tbase_chilling,Utah
params_Temperatura,
params_Temperatura inicio,4.5
params_Temperatura_max,
params_Temperatura_media,
params_Temperatura_min,
params_Viento,
params_Viento_este,
params_Viento_noreste,
params_Viento_noroeste,
params_Viento_norte,
params_Viento_oeste,
params_Viento_sur,
params_Viento_sureste,
params_Viento_suroeste,
params_Winkler,True
params_gdd,False
system_attrs_Umbral,0.1514396965503692
state,COMPLETE
